concept_name,source_book,publisher
Gerta Downyruff,Humblewood Campaign Setting,Hit Point Press
High Flamekeeper Ophelia Reed,Humblewood Campaign Setting,Hit Point Press
High Mage Vairae,Humblewood Campaign Setting,Hit Point Press
Kalero,Humblewood Campaign Setting,Hit Point Press
Kip Whistleslap,Humblewood Campaign Setting,Hit Point Press
Korda Glintstone,Humblewood Campaign Setting,Hit Point Press
Lady Dre,Humblewood Campaign Setting,Hit Point Press
Lendarick Rootborn,Humblewood Campaign Setting,Hit Point Press
Lenny,Acquisitions Incorporated,Wizards of the Coast
Lorno and Lanelle Burrowbright,Humblewood Campaign Setting,Hit Point Press
Lyan Amaranthia,Humblewood Campaign Setting,Hit Point Press
Meera Raheer,Journeys through the Radiant Citadel,Wizards of the Coast
Merle and Morris Mossbow,Humblewood Campaign Setting,Hit Point Press
Moonflower Mosswell,Humblewood Campaign Setting,Hit Point Press
Petra Cloudburst,Humblewood Campaign Setting,Hit Point Press
Pik Whistleslap,Humblewood Campaign Setting,Hit Point Press
Prince Ellan Farra,Humblewood Campaign Setting,Hit Point Press
Saltfeather,Humblewood Campaign Setting,Hit Point Press
Sage the Roostmother,Humblewood Campaign Setting,Hit Point Press
Spiritfarer Erina,Humblewood Campaign Setting,Hit Point Press
Stoa Mossbow,Humblewood Campaign Setting,Hit Point Press
Tempa Greenkeeper,Humblewood Campaign Setting,Hit Point Press
Teremini Nightsedge,Humblewood Campaign Setting,Hit Point Press
Tevor of the Spring Path,Humblewood Campaign Setting,Hit Point Press
The Mossbows,Humblewood Campaign Setting,Hit Point Press
The Thaumaturge,Humblewood Campaign Setting,Hit Point Press
Zifa Freewind,Humblewood Campaign Setting,Hit Point Press
Bethra,Storm King's Thunder,Wizards of the Coast
Bloodlord Varrox,Explorer's Guide to Wildemount,Wizards of the Coast
Boatswain Tarto,Ghosts of Saltmarsh,Wizards of the Coast
Bobby,The Wild Beyond the Witchlight,Wizards of the Coast
Bojack,Waterdeep: Dragon Heist,Wizards of the Coast
Boog,Princes of the Apocalypse,Wizards of the Coast
Brother Trasig,Storm King's Thunder,Wizards of the Coast
Brow,Out of the Abyss,Wizards of the Coast
Crimson Countess,Hoard of the Dragon Queen,Wizards of the Coast
Dagult Neverember,Waterdeep: Dragon Heist,Wizards of the Coast
Darrett Highwater,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast
Diana,The Wild Beyond the Witchlight,Wizards of the Coast
Draven Malas,Hoard of the Dragon Queen,Wizards of the Coast
Drella Swoop,The Wild Beyond the Witchlight,Wizards of the Coast
Dwor,Candlekeep Mysteries,Wizards of the Coast
Elandra,Acquisitions Incorporated,Wizards of the Coast
Eldrick Runeweaver,Dragons of Stormwreck Isle,Wizards of the Coast
Elora Quickwit,Acquisitions Incorporated,Wizards of the Coast
Eric,The Wild Beyond the Witchlight,Wizards of the Coast
Flizzlebin,Waterdeep: Dragon Heist,Wizards of the Coast
Golden Vault Handler,Keys from the Golden Vault,Wizards of the Coast
Hank,The Wild Beyond the Witchlight,Wizards of the Coast
Havel of the Autumn Moon,Humblewood Campaign Setting,Hit Point Press
Haze Regent Lenore von Kessel,Dungeons of Drakkenheim,Ghostfire Gaming
Jedar Pike,Candlekeep Mysteries,Wizards of the Coast
Jarlaxle Baenre,Waterdeep: Dragon Heist,Wizards of the Coast
Keth Silverson,Dragons of Stormwreck Isle,Wizards of the Coast
Knight-Captain Theodore Marshal,Dungeons of Drakkenheim,Ghostfire Gaming
Lady Applejack,Humblewood Campaign Setting,Hit Point Press
Lord Syuul,Out of the Abyss,Wizards of the Coast
Mercion,The Wild Beyond the Witchlight,Wizards of the Coast
Mirt the Merciless,Waterdeep: Dragon Heist,Wizards of the Coast
Moghadam,Tales from the Yawning Portal,Wizards of the Coast
Mordenkainen,Mordenkainen's Tome of Foes,Wizards of the Coast
Mr. Blip,Spelljammer: Adventures in Space,Wizards of the Coast
Nixylanna Vidorant,Keys from the Golden Vault,Wizards of the Coast
Nog the Dwarf,Acquisitions Incorporated,Wizards of the Coast
Presto,The Wild Beyond the Witchlight,Wizards of the Coast
Prisoner 13,Keys from the Golden Vault,Wizards of the Coast
Queen Yolande,Dungeon Master's Guide,Wizards of the Coast
Rey Mantlemorn,Hoard of the Dragon Queen,Wizards of the Coast
Rilly June,Candlekeep Mysteries,Wizards of the Coast
Runara,Dragons of Stormwreck Isle,Wizards of the Coast
Saerthe Abizjn,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast
Silja Dejarr,Candlekeep Mysteries,Wizards of the Coast
Skretch,Spelljammer: Adventures in Space,Wizards of the Coast
Tatina Rookledust,Acquisitions Incorporated,Wizards of the Coast
The Buyer,Acquisitions Incorporated,Wizards of the Coast
